ISO 8601 Time,Battery Voltage (V),GPS Fix,# of Satellites,HDOP,Lat (deg),Lon (deg),System Cal,Gyro Cal,Accel Cal,Mag Cal,Ax (m/s/s),Ay (m/s/s),Az (m/s/s),Mx (mG),My (mG),Mz (mG),Roll (deg),Pitch (deg),Yaw (deg),State
2022-04-27T13:06:19.281,,1,7,12,28.122,-80.575,0,3,3,2,-1.29,0.11,-9.94,45.688,9.75,5.25,,-7.062,286.375,4
2022-04-27T13:06:19.566,,1,7,12,28.122,-80.575,0,3,3,2,-1.17,0.1,-9.81,46.8,4.5,-178.875,-7.125,284.875,,4
2022-04-27T13:06:19.850,,1,7,12,28.122,-80.575,0,3,3,2,-1.3,-9.79,47.188,9.062,5.25,-178.875,-7.125,284.875,,4
2022-04-27T13:06:20.000,,1,7,12,28.122,-80.575,0,3,3,2,-1.26,0.1,-9.78,46.062,8.688,4.875,-178.938,-7.125,284.875,4
2022-04-27T13:06:20.293,,1,7,12,28.122,-80.575,0,3,3,2,-1.15,0.13,-9.78,46.875,9.062,5.25,-178.938,-7.125,284.875,4
2022-04-27T13:06:20.579,,1,7,12,28.122,-80.575,0,3,3,2,-1.23,0.12,-9.79,46.5,9.062,4.875,-178.938,-7.125,284.875,4
2022-04-27T13:06:20.930,,1,7,12,28.122,-80.575,0,3,3,2,-1.18,0.12,-9.79,46.875,9.5,6.875,-178.938,-7.125,284.875,4
2022-04-27T13:06:21.000,,1,7,12,28.122,-80.575,0,3,3,2,-1.21,0.09,-9.81,45.688,9.5,5.25,-178.938,-7.125,284.875,4
2022-04-27T13:06:21.288,,1,7,12,28.122,-80.575,0,3,3,2,-1.21,0.1,-9.78,45.688,8.688,5.25,-178.938,-7.125,284.875,4
2022-04-27T13:06:21.578,,1,7,12,28.122,-80.575,0,3,3,2,-1.2,0.14,-9.79,46.875,9.062,6.062,,-7.125,284.875,4
2022-04-27T13:06:22.000,,1,7,12,28.122,-80.575,0,3,3,2,-1.2,0.14,-9.78,46.5,8.688,6.062,-178.938,-7.125,284.875,4
